State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct,Avg Annual Total Civilian Non-Institutional Population in State/Area,Avg Annual Total Civilian Labor Force in State/Area,Avg Annual Total Employment in State/Area,Avg Annual Total Unemployment in State/Area,Annual Percent (%) of Unemployed in State/Area,Annual Percent (%) of Labor Force Population,Annual Percent (%) of Total Employment in State/Area
Idaho,16,2005,877031,17878,259993,71023,155546,69670,139596,45913,10971,7893,760605,86.72,1056225,730462,701274,29188,4.0,69.16,66.39
Illinois,17,2005,8079881,181694,2283031,578545,1108107,594479,1480111,622304,170990,88532,6926099,85.72,9611488,6410715,6044704,366011,5.71,66.7,62.89
Indiana,18,2005,3956723,80181,1468342,280602,509350,276886,534551,215365,56688,34272,3376056,85.32,4752908,3202415,3030019,172396,5.38,67.38,63.75
Iowa,19,2005,1927018,29681,692441,136070,261614,176941,317164,95001,30263,16279,1725773,89.56,2275361,1628542,1558853,69689,4.28,71.57,68.51
Kansas,20,2005,1725825,25514,520710,142487,257591,124662,320356,118757,30162,16687,1531412,88.74,2067011,1458359,1384461,73899,5.07,70.55,66.98
Kentucky,21,2005,2715805,55501,941493,169361,336290,174123,312484,150050,40945,20376,2145122,78.99,3207183,1991368,1874755,116613,5.86,62.09,58.45
Louisiana,22,2005,2791859,66690,977629,158641,408974,127732,375088,126432,49141,23722,2247359,80.5,3290373,2077941,1930058,147883,7.12,63.15,58.66
Maine,23,2005,899536,13295,325305,49401,113417,82032,152744,53115,14850,9628,800492,88.99,1043211,695228,661176,34052,4.9,66.64,63.38
Maryland,24,2005,3583616,86227,955095,243795,458021,224327,691771,371356,100266,74567,3119198,87.04,4253903,2931631,2800381,131249,4.48,68.92,65.83
Massachusetts,25,2005,4243260,81069,1164066,217752,460613,327297,895971,465688,112906,89593,3733886,88.0,5063714,3385550,3223259,162291,4.79,66.86,63.65
Michigan,26,2005,6454327,136465,2026459,509756,973031,516393,977313,444082,113009,57102,5617145,87.03,7736940,5070005,4726095,343910,6.78,65.53,61.08
Minnesota,27,2005,3292174,49076,923552,233730,511521,313973,690482,218705,67213,34458,2993634,90.93,3928817,2882139,2763594,118545,4.11,73.36,70.34
Mississippi,28,2005,1797084,42588,575561,100963,257002,140767,218351,79507,24839,12863,1409853,78.45,2143324,1317097,1217185,99912,7.59,61.45,56.79
Missouri,29,2005,3729604,78969,1249751,285874,518936,222586,572749,225500,62647,33589,3171632,85.04,4435045,3010244,2847395,162849,5.41,67.87,64.2
Montana,30,2005,619546,9038,197873,45961,109020,45384,114067,33072,9477,7293,562147,90.74,728189,485496,465780,19716,4.06,66.67,63.96
Nebraska,31,2005,1109836,16237,340138,85539,166887,97911,208864,63549,20278,10137,993303,89.5,1324178,972385,935789,36595,3.76,73.43,70.67
Nevada,32,2005,1554923,50680,478672,127718,251355,108486,218353,67670,24207,10742,1287203,82.78,1819152,1228415,1177612,50803,4.14,67.53,64.73
New Hampshire,33,2005,867694,15669,265622,52603,107133,78480,174551,74895,14621,12020,779925,89.88,1019428,726006,699641,26365,3.63,71.22,68.63
New Jersey,34,2005,5666759,152457,1670430,318332,609775,349036,1232096,492156,146290,69652,4887767,86.25,6630669,4387117,4192820,194297,4.43,66.16,63.23
New Mexico,35,2005,1208938,28172,345549,73417,185196,83468,172004,91411,20684,19424,991153,81.99,1436753,905857,858793,47064,5.2,63.05,59.77
New York,36,2005,12546501,344904,3659953,660901,1301858,1033232,2243704,1184302,339927,156000,10579877,84.33,15008243,9457442,8988560,468882,4.96,63.01,59.89
North Carolina,37,2005,5568889,106039,1638855,351756,737468,456290,951509,312568,79129,56356,4583931,82.31,6571000,4348615,4105044,243571,5.6,66.18,62.47
North Dakota,38,2005,414015,6296,119819,27349,66109,46358,77591,18396,5901,3625,365148,88.2,491659,356413,344618,11795,3.31,72.49,70.09
Ohio,39,2005,7405261,180119,2715259,503215,929779,518113,1094740,439485,128469,62878,6391938,86.32,8819792,5880798,5532701,348097,5.92,66.68,62.73
Oklahoma,40,2005,2244755,56021,721388,180937,333337,155119,341041,111172,32719,17522,1893235,84.34,2658130,1709120,1635108,74013,4.33,64.3,61.51
Oregon,41,2005,2384818,57786,627297,194561,428407,174291,423469,162876,47609,27207,2085717,87.46,2823513,1848993,1734756,114237,6.18,65.49,61.44
Pennsylvania,42,2005,8180457,168094,3160932,453088,801242,576246,1300563,542929,161314,95058,7091372,86.69,9702277,6256787,5944422,312365,4.99,64.49,61.27
Rhode Island,44,2005,705426,13855,205724,40623,78259,57534,125960,58024,14191,8718,589033,83.5,837143,563342,534502,28840,5.12,67.29,63.85
South Carolina,45,2005,2723305,53654,856809,178118,341793,222878,409744,153795,40446,21272,2224855,81.7,3234048,2070940,1919860,151080,7.3,64.04,59.36
South Dakota,46,2005,485733,7463,158891,30489,74784,46541,85688,22154,8091,3964,430602,88.65,589510,429250,414036,15214,3.54,72.81,70.23
Tennessee,47,2005,3907666,84563,1348744,235566,516946,219264,552189,201353,59741,37460,3171263,81.15,4610117,2899068,2739023,160045,5.52,62.88,59.41
Texas,48,2005,13771855,309196,3612343,930758,1997433,844048,2335267,788746,219176,117623,10845394,78.75,16623005,11172304,10562010,610294,5.46,67.21,63.54
Utah,49,2005,1387825,28203,361729,114262,259646,128462,266352,85226,20905,14447,1251029,90.14,1777777,1280608,1228820,51788,4.04,72.03,69.12
Vermont,50,2005,419246,5701,134142,21356,48267,35034,84510,36249,8687,6788,375033,89.45,495490,349540,337432,12108,3.46,70.54,68.1
Virginia,51,2005,4866265,88631,1297610,293719,630307,318555,964059,461718,120013,69214,4155195,85.39,5705956,3906976,3757063,149914,3.84,68.47,65.84
Washington,53,2005,4074619,87300,1023914,324757,671465,373534,800293,297500,79120,49689,3620272,88.85,4817314,3259986,3077509,182476,5.6,67.67,63.88
West Virginia,54,2005,1239234,21493,518760,74435,135603,67494,126013,59443,15630,8692,1006070,81.18,1435076,794511,751282,43228,5.44,55.36,52.35
Wisconsin,55,2005,3579057,73215,1233028,254715,482185,313773,602795,202636,56630,31138,3176900,88.76,4285261,3029179,2885775,143404,4.73,70.69,67.34
Wyoming,56,2005,332295,5191,111970,29241,58885,26487,51488,17490,4679,3287,303527,91.34,389945,279077,269185,9891,3.54,71.57,69.03
Alabama,1,2006,3022878,66290,986222,170607,426844,201639,403122,163500,42748,27446,2422128,80.13,3522273,2169933,2083033,86900,4.0,61.61,59.14
Alaska,2,2006,415630,4143,119251,30851,80626,30563,72258,28236,7102,4005,372892,89.72,490048,348776,325653,23123,6.63,71.17,66.45
Arizona,4,2006,3953375,90716,1056153,289049,656635,303046,643182,257171,68183,38153,3311572,83.77,4630001,2970340,2842628,127712,4.3,64.15,61.4
Arkansas,5,2006,1847325,39396,671500,115382,263152,100619,221233,76427,23734,15229,1487276,80.51,2142922,1346482,1275728,70755,5.25,62.83,59.53
California,6,2006,23133174,620913,5368962,1366962,3317609,1767989,4311428,1590349,496576,307945,18527820,80.09,27012671,17661752,16795758,865994,4.9,65.38,62.18
Colorado,8,2006,3118500,54573,765604,189178,483754,235974,685736,280669,64688,40087,2745690,88.05,3621632,2640530,2528011,112519,4.26,72.91,69.8
Connecticut,9,2006,2367511,39746,704762,131811,277521,172604,456201,246006,62817,32387,2084109,88.03,2694038,1830769,1749854,80915,4.42,67.96,64.95
Delaware,10,2006,566312,11802,192075,35019,65150,39294,93121,43881,8660,7166,484366,85.53,657537,443252,425917,17335,3.91,67.41,64.77
District of Columbia,11,2006,395630,9534,81738,15242,39526,15367,80945,61569,24421,14654,333462,84.29,470130,320500,300217,20283,6.33,68.17,63.86
Florida,12,2006,12460438,315806,3880665,817624,1619829,1062507,2044646,728533,266297,114974,10535075,84.55,14163723,8926589,8706253,220336,2.47,63.02,61.47
Georgia,13,2006,5968250,120609,1811581,323372,796506,387088,1035445,388502,105112,57566,4905172,82.19,6914798,4713831,4474420,239411,5.08,68.17,64.71
Hawaii,15,2006,863019,13286,254442,44352,128706,84657,171316,55127,20255,9385,768240,89.02,960686,635405,619205,16200,2.55,66.14,64.45
Idaho,16,2006,919203,14908,277120,72961,160267,77659,148953,44219,13913,7291,802383,87.29,1086238,744251,718734,25518,3.43,68.52,66.17
Illinois,17,2006,8326130,170232,2405207,549347,1120616,599632,1505856,641021,168945,89942,7080566,85.04,9675598,6515261,6215799,299462,4.6,67.34,64.24
Indiana,18,2006,4110754,75683,1521427,271528,521764,296052,561008,235770,59028,35683,3502260,85.2,4796258,3235491,3074291,161200,4.98,67.46,64.1
Iowa,19,2006,1952026,27568,695373,132984,261106,177466,324529,97351,29715,17327,1735851,88.93,2291210,1655780,1594803,60977,3.68,72.27,69.61
Kansas,20,2006,1771185,28494,536037,138419,265349,121441,331537,125764,31384,17176,1567107,88.48,2080118,1467694,1402924,64770,4.41,70.56,67.44
Kentucky,21,2006,2812772,46537,975858,168763,349391,181645,332480,164226,43869,21820,2238052,79.57,3245865,2026300,1910100,116200,5.73,62.43,58.85
Louisiana,22,2006,2734518,61956,961890,144628,387626,122472,367069,123169,43538,20287,2170679,79.38,3198013,2001406,1918915,82491,4.12,62.58,60.0
Maine,23,2006,923328,13391,337675,50667,114206,78612,155686,57622,15327,9586,819381,88.74,1050791,700845,667789,33056,4.72,66.7,63.55
Maryland,24,2006,3717512,73476,998620,224547,467764,244076,721296,390671,107043,84087,3238104,87.1,4294115,2984216,2859388,124828,4.18,69.5,66.59
Massachusetts,25,2006,4345561,81560,1226480,208654,444306,332930,930252,469700,112792,96004,3821118,87.93,5092894,3411600,3250525,161075,4.72,66.99,63.82
Michigan,26,2006,6638666,131411,2157157,504710,988055,514685,1016033,439373,110969,59087,5790069,87.22,7764448,5056566,4701053,355513,7.03,65.12,60.55
Minnesota,27,2006,3387448,50150,969471,227525,517517,326228,705316,218879,67492,38988,3071416,90.67,3971808,2889346,2771739,117608,4.07,72.75,69.79
Mississippi,28,2006,1839682,37888,588543,99481,265530,134677,232501,76657,22716,13488,1433593,77.93,2148646,1280595,1199090,81505,6.36,59.6,55.81
Missouri,29,2006,3849275,73521,1293654,272176,523187,241943,599937,238049,59222,36302,3264470,84.81,4487608,3036747,2888521,148226,4.88,67.67,64.37
Montana,30,2006,630680,9748,201230,39650,103207,50990,119732,37043,10167,6065,568084,90.07,739612,495219,478730,16490,3.33,66.96,64.73
Nebraska,31,2006,1135868,15054,351267,85090,175445,99502,210045,63613,19840,12205,1017007,89.54,1333583,971513,941835,29678,3.05,72.85,70.62
Nevada,32,2006,1644320,48442,520461,136102,262400,118578,223358,81708,24133,12217,1378957,83.86,1883416,1291540,1239171,52368,4.05,68.57,65.79
New Hampshire,33,2006,896872,13233,274960,55895,104534,84344,185549,74015,15644,11208,806149,89.88,1032458,732449,706600,25849,3.53,70.94,68.44
New Jersey,34,2006,5871240,126282,1785750,307995,639828,355777,1235533,511596,138858,77727,5053064,86.06,6658162,4436419,4231038,205382,4.63,66.63,63.55
New Mexico,35,2006,1239433,24364,343109,72391,191588,89009,179016,92352,20028,22430,1009923,81.48,1461711,914520,875950,38570,4.22,62.57,59.93
New York,36,2006,12845882,306615,3830283,581341,1351512,1031187,2293158,1197364,348382,165061,10798288,84.06,15100241,9520289,9088923,431366,4.53,63.05,60.19
North Carolina,37,2006,5845235,99950,1738948,359781,769256,474966,966882,337331,83942,62923,4794029,82.02,6721862,4460501,4231348,229153,5.14,66.36,62.95
North Dakota,38,2006,409865,4086,122742,25502,62332,45720,78243,18297,5183,3036,361055,88.09,493900,362678,351375,11302,3.12,73.43,71.14
Ohio,39,2006,7602462,156597,2817083,504189,949398,541151,1115230,444112,123150,62314,6556627,86.24,8859318,5957178,5635358,321820,5.4,67.24,63.61
Oklahoma,40,2006,2312121,51420,783807,160247,342381,150495,344470,117576,33072,16865,1948913,84.29,2690292,1714593,1647381,67211,3.92,63.73,61.23
Oregon,41,2006,2501372,53918,668558,203204,433453,196595,439070,170010,50437,29499,2190826,87.58,2876526,1881739,1780344,101395,5.39,65.42,61.89
Pennsylvania,42,2006,8431859,157961,3277304,450331,794372,600673,1332252,550619,164308,97993,7267852,86.2,9767932,6298176,6002036,296140,4.7,64.48,61.45
Rhode Island,44,2006,712984,13076,209896,39058,76571,50690,130704,59467,14002,6783,587171,82.35,837532,571605,541687,29918,5.23,68.25,64.68
South Carolina,45,2006,2845744,54405,927647,155243,358659,224153,423447,161236,38275,24179,2312839,81.27,3305437,2148866,2000995,147871,6.88,65.01,60.54
South Dakota,46,2006,505237,6830,171524,31622,71071,46367,88911,24683,7130,4813,446121,88.3,597236,432784,419768,13016,3.01,72.46,70.29
Tennessee,47,2006,4037826,78613,1388059,243138,530692,229634,571014,204344,61053,37877,3265811,80.88,4692392,3014542,2855331,159210,5.28,64.24,60.85
Texas,48,2006,14551694,300345,3964551,906234,2063360,904933,2424828,821464,224129,125100,11434599,78.58,17004846,11335465,10768742,566723,5.0,66.66,63.33
Utah,49,2006,1437561,25862,371677,112621,267688,134594,275297,90859,25852,18469,1297057,90.23,1835540,1333170,1295189,37981,2.85,72.63,70.56
Vermont,50,2006,426930,6189,138289,21163,48824,36722,83968,37804,9058,7680,383508,89.83,499415,355336,342141,13194,3.71,71.15,68.51
Virginia,51,2006,5068993,83720,1376944,301053,644502,344472,988580,484058,112900,74418,4326927,85.36,5788571,3976425,3843696,132729,3.34,68.69,66.4
Washington,53,2006,4253582,76171,1089695,304868,699777,395303,841454,320644,83049,51192,3785982,89.01,4915790,3330080,3163830,166250,4.99,67.74,64.36
West Virginia,54,2006,1262933,18699,539089,67023,135886,72558,125706,59976,16307,6537,1023082,81.01,1440091,804817,763108,41710,5.18,55.89,52.99
Wisconsin,55,2006,3682631,69031,1282027,243272,478329,324651,616542,216976,58579,33404,3253780,88.35,4323865,3066484,2923210,143274,4.67,70.92,67.61
Wyoming,56,2006,339398,4631,111587,24608,60611,32273,52112,17543,4090,3403,306227,90.23,396036,284853,276282,8571,3.01,71.93,69.76
Alabama,1,2007,3045893,65970,978130,180036,436873,202115,408600,174737,43255,24817,2448563,80.39,3557957,2180868,2092450,88418,4.05,61.3,58.81
Alaska,2,2007,421818,5476,127441,31901,76808,35925,67754,29327,7620,4906,381682,90.48,495920,350201,328279,21922,6.26,70.62,66.2
Arizona,4,2007,4075825,83018,1093262,286545,667194,322378,655897,267243,65824,43623,3401966,83.47,4760450,3019158,2905975,113183,3.75,63.42,61.04
Arkansas,5,2007,1861810,40032,663851,115615,261604,109425,239729,82849,24289,13373,1510735,81.14,2166219,1350784,1278038,72746,5.39,62.36,59.0
California,6,2007,23331762,591612,5396253,1320502,3336617,1782118,4425024,1636914,503868,317718,18719014,80.23,27274555,17910778,16957627,953150,5.32,65.67,62.17
Colorado,8,2007,3203704,53673,797352,190334,500443,238931,721172,292431,66877,40788,2848328,88.91,3693148,2688486,2589012,99474,3.7,72.8,70.1
Connecticut,9,2007,2359568,42757,695183,126770,261429,176018,455313,263174,66450,32803,2077140,88.03,2707895,1856230,1773433,82798,4.46,68.55,65.49
Delaware,10,2007,573935,9428,191244,39566,76161,44904,90173,41301,10818,7581,501748,87.42,668101,445369,429295,16074,3.61,66.66,64.26
District of Columbia,11,2007,401018,8710,87444,14580,38455,12922,86234,62758,28101,13310,343804,85.73,473306,326500,307027,19472,5.96,68.98,64.87
Florida,12,2007,12588083,310687,3962460,817226,1605740,1060738,2123627,747206,254849,116762,10688608,84.91,14339230,9114294,8814835,299460,3.29,63.56,61.47
Georgia,13,2007,6074860,110875,1852511,340876,804090,393747,1068497,404353,112918,58928,5035920,82.9,7072669,4810726,4573706,237020,4.93,68.02,64.67
Hawaii,15,2007,873724,13071,260772,45307,129840,90011,168766,59348,17382,9868,781294,89.42,968364,636854,619495,17359,2.73,65.77,63.97
Idaho,16,2007,946131,17330,282497,76951,162931,82119,159333,48697,13237,10195,835960,88.36,1112418,755174,732250,22924,3.04,67.89,65.83
Illinois,17,2007,8354987,159216,2432952,545043,1121684,598081,1541417,662876,171675,85869,7159597,85.69,9743313,6640318,6303551,336767,5.07,68.15,64.7
Indiana,18,2007,4143519,80150,1542222,276389,526904,293297,586250,235280,58068,34873,3553283,85.76,4836385,3203147,3055177,147970,4.62,66.23,63.17
Iowa,19,2007,1974476,27570,702217,138039,264442,185337,330681,102770,28109,18057,1769652,89.63,2306017,1662356,1600788,61568,3.7,72.09,69.42
Kansas,20,2007,1790086,25140,541019,131564,274644,132752,339940,123211,32718,19733,1595581,89.13,2096349,1485364,1422267,63097,4.25,70.85,67.84
Kentucky,21,2007,2840026,47005,1003985,173669,353444,176547,340467,158902,47357,21412,2275783,80.13,3274539,2035512,1926148,109364,5.37,62.16,58.82
Louisiana,22,2007,2742822,54733,979695,147589,382412,122759,378156,120528,39969,20636,2191744,79.91,3288915,2026434,1943293,83142,4.1,61.61,59.09
Maine,23,2007,922232,12576,334985,49240,111310,82539,161545,61596,15753,7793,824761,89.43,1056884,699838,667098,32741,4.68,66.22,63.12
Maryland,24,2007,3713487,67544,1019051,228216,452507,238061,725785,396273,108038,78835,3246766,87.43,4325591,2989780,2878633,111147,3.72,69.12,66.55
Massachusetts,25,2007,4369419,72265,1214179,212690,456584,322793,955812,496120,113097,90939,3862214,88.39,5134517,3433527,3278460,155067,4.52,66.87,63.85
Michigan,26,2007,6647129,129907,2154359,501634,982119,531033,1013139,459743,110676,59894,5812597,87.45,7775228,4995104,4641233,353871,7.08,64.24,59.69
Minnesota,27,2007,3429364,46728,980837,227951,524734,327051,719678,234825,70558,36403,3122037,91.04,4013095,2899004,2766115,132890,4.58,72.24,68.93
Mississippi,28,2007,1838878,42356,586721,103992,270255,134999,228957,82670,22989,12854,1443437,78.5,2171648,1293546,1213779,79767,6.17,59.57,55.89
Missouri,29,2007,3882538,66754,1305247,276103,543176,248346,607464,247294,59308,38149,3325087,85.64,4532828,3058358,2902891,155467,5.08,67.47,64.04
Montana,30,2007,641019,11039,208019,38977,108467,48566,117607,39653,9902,5649,576840,89.99,750440,505112,488111,17001,3.37,67.31,65.04
Nebraska,31,2007,1139229,16545,350460,83279,170351,103150,213500,65640,21368,13108,1020856,89.61,1342436,979225,950494,28731,2.93,72.94,70.8
Nevada,32,2007,1686098,45048,521941,131316,267922,122831,241395,85049,28993,11641,1411088,83.69,1938288,1344378,1282646,61732,4.59,69.36,66.17
New Hampshire,33,2007,895981,11973,277516,51429,109168,81611,188538,79029,14106,9646,811043,90.52,1042854,738037,712150,25887,3.51,70.77,68.29
New Jersey,34,2007,5850926,111096,1822803,293638,637473,356100,1240638,531049,138264,71265,5091230,87.02,6686077,4437068,4250060,187008,4.21,66.36,63.57
New Mexico,35,2007,1267808,21065,364480,77416,196829,89851,185383,91389,19802,17733,1042883,82.26,1482766,920703,887673,33030,3.59,62.09,59.87
New York,36,2007,12900108,290320,3793882,573344,1342882,1042663,2345752,1236237,349472,158523,10842755,84.05,15191922,9511592,9089562,422030,4.44,62.61,59.83
North Carolina,37,2007,5959907,97161,1766873,364402,796283,491574,1015979,363888,86982,60239,4946220,82.99,6879821,4530066,4298866,231200,5.1,65.85,62.49
North Dakota,38,2007,413331,5107,117971,27222,66768,49580,79929,17584,4874,3804,367732,88.97,495854,367631,356520,11111,3.02,74.14,71.9
Ohio,39,2007,7627615,142575,2805856,493399,956671,548843,1161216,479887,124997,69204,6640073,87.05,8899484,6017264,5679840,337424,5.61,67.61,63.82
Oklahoma,40,2007,2340504,44293,773538,168486,354435,155740,355591,125367,34070,18082,1985309,84.82,2716737,1723459,1655251,68208,3.96,63.44,60.93
Oregon,41,2007,2547452,51197,697165,192848,430869,200969,457737,181267,52129,29689,2242673,88.04,2926092,1911018,1812357,98660,5.16,65.31,61.94
Pennsylvania,42,2007,8436765,154181,3240835,460820,822664,619921,1344889,580675,158071,95624,7323499,86.8,9829441,6347444,6058596,288848,4.55,64.58,61.64
Rhode Island,44,2007,710152,12058,205846,44332,73975,53406,128125,58358,14991,10160,589193,82.97,837511,571058,541901,29157,5.11,68.19,64.7
South Carolina,45,2007,2909779,57609,954015,153422,366385,231461,445080,175927,39941,21401,2387632,82.06,3374548,2155184,2024884,130300,6.05,63.87,60.0
South Dakota,46,2007,512902,7393,172858,31183,72888,47332,92168,25341,6123,4475,452368,88.2,604823,436374,424004,12370,2.83,72.15,70.1
Tennessee,47,2007,4122693,78293,1412303,254014,552292,236833,584565,215049,60660,39013,3354729,81.37,4760074,3043346,2902259,141087,4.64,63.93,60.97
Texas,48,2007,14836320,275514,4023210,893035,2162650,927185,2512122,870518,219137,131148,11739005,79.12,17390495,11441627,10942617,499010,4.36,65.79,62.92
Utah,49,2007,1495759,28929,398932,112839,273723,133937,293227,92934,25355,17884,1348831,90.18,1889476,1377773,1342460,35314,2.56,72.92,71.05
Vermont,50,2007,427339,4413,139139,19766,47540,35655,88510,38563,9713,6955,385841,90.29,502287,353341,339447,13894,3.93,70.35,67.58
Virginia,51,2007,5104681,85120,1390436,298875,647569,332546,1011527,502108,121943,77669,4382673,85.86,5857950,4039584,3907014,132570,3.28,68.96,66.7
Washington,53,2007,4327936,74459,1107575,338009,699624,410420,842952,331375,83111,52574,3865640,89.32,5005665,3401944,3245456,156488,4.6,67.96,64.84
West Virginia,54,2007,1261455,20328,517789,71653,139370,76885,135597,58074,17841,6883,1024092,81.18,1444435,804399,765698,38701,4.81,55.69,53.01
Wisconsin,55,2007,3727260,69973,1300021,253610,488648,328487,629443,226593,59467,31122,3317391,89.0,4358161,3087839,2939249,148590,4.81,70.85,67.44
Wyoming,56,2007,342256,5642,108983,29913,58911,34296,53597,17871,4549,3909,312029,91.17,403554,290923,283124,7799,2.68,72.09,70.16
Alabama,1,2008,3078499,55421,974088,183411,476087,210308,439587,170625,41202,25656,2520964,81.89,3591892,2177201,2049357,127844,5.87,60.61,57.06
Alaska,2,2008,424901,5563,112556,34487,92145,34122,74728,27470,7409,6427,389344,91.63,501689,355365,332328,23037,6.48,70.83,66.24
Arizona,4,2008,4192547,82063,1048111,323628,761762,328608,667004,271435,68078,45816,3514442,83.83,4868327,3095778,2916001,179777,5.81,63.59,59.9
Arkansas,5,2008,1872814,31375,663108,128827,287455,104524,234355,81176,22826,13583,1535854,82.01,2186304,1357944,1283968,73976,5.45,62.11,58.73
California,6,2008,23528476,605953,4903309,1374366,3847636,1789376,4432116,1654758,539371,335881,18876813,80.23,27606374,18182565,16853398,1329168,7.31,65.86,61.05
Colorado,8,2008,3263026,44239,746933,206238,536373,248519,748494,299716,69123,44134,2899530,88.86,3767280,2734806,2601252,133553,4.88,72.59,69.05
Connecticut,9,2008,2364317,36869,661750,129893,285854,176357,481976,256635,67102,36197,2095764,88.64,2727282,1878221,1772159,106062,5.65,68.87,64.98
Delaware,10,2008,581811,8172,182263,40506,82745,41966,96864,44629,10459,8026,507458,87.22,678154,450291,427616,22675,5.04,66.4,63.06
District of Columbia,11,2008,403768,6313,80069,12882,46618,11990,87093,60583,29912,17171,346318,85.77,477782,334716,311783,22933,6.85,70.06,65.26
Florida,12,2008,12699412,286333,3802995,823253,1856243,1061658,2134466,771580,247981,124420,10822596,85.22,14477369,9155655,8634204,521451,5.7,63.24,59.64
Georgia,13,2008,6191871,100744,1817100,337015,937651,401040,1100034,424577,112797,65058,5195272,83.9,7197409,4863790,4534564,329226,6.77,67.58,63.0
Hawaii,15,2008,873046,10259,250825,50743,147445,85014,167681,55608,21493,9391,788200,90.28,975321,641470,615546,25924,4.04,65.77,63.11
Idaho,16,2008,959162,15081,266100,80635,183910,82006,159133,47955,14261,8808,842808,87.87,1134171,760052,721732,38321,5.04,67.01,63.64
Illinois,17,2008,8393247,161218,2295552,570016,1225856,608705,1565010,677947,174295,90442,7207823,85.88,9811776,6653467,6220961,432507,6.5,67.81,63.4
Indiana,18,2008,4177420,74037,1466600,284320,581984,313410,617092,242891,58632,37756,3602685,86.24,4874492,3245684,3052752,192932,5.94,66.59,62.63
Iowa,19,2008,1979224,24108,668417,161748,284544,191386,335245,96911,29339,18745,1786335,90.25,2319607,1682570,1612085,70485,4.19,72.54,69.5
Kansas,20,2008,1806450,23758,504656,154277,288553,134503,353290,130565,32737,18363,1616944,89.51,2111166,1493766,1424872,68893,4.61,70.76,67.49
Kentucky,21,2008,2872922,44508,989402,195854,393108,192580,337111,162109,45708,20360,2336232,81.32,3307860,2038822,1905795,133027,6.52,61.64,57.61
Louisiana,22,2008,2830500,49923,990785,160348,436113,137845,389972,121972,39165,22741,2298941,81.22,3352739,2064998,1968673,96325,4.66,61.59,58.72
Maine,23,2008,928594,10408,324960,58168,130535,83959,153102,59024,13541,9851,833140,89.72,1062381,702127,664315,37812,5.39,66.09,62.53
Maryland,24,2008,3741795,56928,986866,229645,528731,230850,739285,385466,111735,79956,3292534,87.99,4357178,3028385,2891046,137339,4.54,69.5,66.35
Massachusetts,25,2008,4397927,70075,1172132,217939,504445,331517,956049,498721,126357,94140,3901300,88.71,5184502,3465876,3281501,184376,5.32,66.85,63.29
